,상권코드,분기,상권구분,상권명,총생활인구수,10대생활인구,20대생활인구,30대생활인구,40대생활인구,50대생활인구,60대이상생활인구
1009,1000486,2,골목상권,숭문8길,516862,92353,71613,91438,103851,69368,88239
1010,1000485,2,골목상권,성지3길,328565,29705,79278,85829,51664,37652,44438
1011,1000484,2,골목상권,성산로4길,689613,94515,117114,137654,125399,92098,122832
1012,1000483,2,골목상권,성미산로32길,373060,31490,107774,87616,58051,34641,53488
1013,1000482,2,골목상권,성미산로1길,916823,134276,139094,167322,182683,126778,166669
1014,1000481,2,골목상권,성미산로11길,647287,98728,114643,129248,116564,76087,112016
1015,1000480,2,골목상권,백범로16길,959698,196249,153050,152433,168092,125218,164653
1016,1000479,2,골목상권,방울내로9안길,1702177,261913,238917,303079,316428,250028,331812
1017,1000478,2,골목상권,모래내로7길,434712,77933,68823,69789,72684,60238,85246
1018,1000477,2,골목상권,매봉산로2길,672076,56910,142838,171322,132233,76988,91787
1019,1000476,2,골목상권,망원로2길,1149723,152297,203150,256991,192216,130857,214211
1020,1000475,2,골목상권,망원로11길,555494,74600,92146,98574,102047,74023,114106
1021,1000474,2,골목상권,만리재옛길,725849,99262,124257,140325,124321,107958,129727
1022,1000473,2,골목상권,마포대로4길,330479,33637,44959,72245,60993,51784,66860
1023,1000472,2,골목상권,마포대로20길,1557819,198404,222453,353960,282446,230168,270389
1024,1000471,2,골목상권,마포대로12길,264139,25048,45428,58313,51261,40648,43441
1025,1000470,2,골목상권,동교로38길,627880,49819,222456,140909,81194,59880,73622
